AP (GPTCache),AP (SBERT-Threshold),Accuracy (GPTCache),Accuracy (SBERT-Threshold),Avg. Time (GPTCache),Avg. Time (SBERT-Threshold),F1 (GPTCache),F1 (SBERT-Threshold),Hit Rate (GPTCache),Hit Rate (SBERT-Threshold),Miss Rate (GPTCache),Miss Rate (SBERT-Threshold),Precision (GPTCache),Precision (SBERT-Threshold),Recall (GPTCache),Recall (SBERT-Threshold),Threshold (GPTCache),Threshold (SBERT-Threshold),batch_size,client_epochs,clients_per_round,device,dname,key,num_clients,num_rounds,tname,AP (All Rounds),F1 (All Rounds),F1 (Final Round),F1 (Stored Best F1),Precision (All Rounds),loss_type,Sampling
0.8490222817399493,0.8805002423442312,0.8103982300884955,0.8391592920353982,0.0005065120954429154,0.000499871135812945,0.8325190541332812,0.8523258175908999,0.7101769911504425,0.7008849557522124,0.28982300884955753,0.2991150442477876,0.7455372768638432,0.7878332707472775,0.9424778761061947,0.9283185840707965,0.7,0.7299423217773438,16,3,5,cuda,dgptcache,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-5-num_clients-20-batch_size-16-device-cuda-client_epochs-3-num_rounds-1-,20,1,paraphrase-albert-small-v2,,,,,,,"[0 1]:[2260 2260], Total:4520"
0.8490222817399493,0.8898590432967884,0.8103982300884955,0.8464601769911504,0.0005192614762128981,0.0004969192817147855,0.8325190541332812,0.8580196399345336,0.7101769911504425,0.6924778761061947,0.28982300884955753,0.3075221238938053,0.7455372768638432,0.797945205479452,0.9424778761061947,0.9278761061946903,0.7,0.7376683354377747,64,3,10,cuda,dgptcache,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-10-,20,10,paraphrase-albert-small-v2,,,,,,,"[0 1]:[2260 2260], Total:4520"
0.8490222817399493,0.9125806742298839,0.8103982300884955,0.8592920353982301,0.0004998580544395784,0.000495450528322068,0.8325190541332812,0.8670568561872909,0.7101769911504425,0.6597345132743363,0.28982300884955753,0.3402654867256637,0.7455372768638432,0.8217115689381933,0.9424778761061947,0.9176991150442478,0.7,0.7816840410232544,64,3,10,cuda,dgptcache,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,20,150,paraphrase-albert-small-v2,,,,,,,"[0 1]:[2260 2260], Total:4520"
0.8490222817399493,0.902893330018075,0.8103982300884955,0.8526548672566372,0.0004975740888477427,0.0004961127728487538,0.8325190541332812,0.8606694560669456,0.7101769911504425,0.6575221238938053,0.28982300884955753,0.3424778761061947,0.7455372768638432,0.8162698412698413,0.9424778761061947,0.9101769911504425,0.7,0.7781519889831543,64,3,10,cuda,dgptcache,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-50-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,50,150,paraphrase-albert-small-v2,,,,,,,"[0 1]:[2260 2260], Total:4520"
0.8490222817399493,0.885225151152222,0.8103982300884955,0.8393805309734513,0.0004996060270123777,0.0005122046027563314,0.8325190541332812,0.8486869528970404,0.7101769911504425,0.679646017699115,0.28982300884955753,0.32035398230088497,0.7455372768638432,0.8022064617809299,0.9424778761061947,0.9008849557522124,0.7,0.799221932888031,64,3,10,cuda,dgptcache,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-100-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,100,150,paraphrase-albert-small-v2,,,,,,,"[0 1]:[2260 2260], Total:4520"
0.8158325502585897,0.8747484927721576,0.7887168141592921,0.8331858407079646,0.00025117734892178426,0.0002412753295054478,0.8143828960155491,0.848655158570855,0.6933628318584071,0.647787610619469,0.3066371681415929,0.35221238938053095,0.7261698440207972,0.7766348273328435,0.9269911504424779,0.9353982300884955,0.7,0.766486644744873,64,3,10,cuda,dgptcache,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,20,150,paraphrase-MiniLM-L3-v2,,,,,,,"[0 1]:[2260 2260], Total:4520"
0.8158325502585897,0.8475392709612971,0.7887168141592921,0.8143805309734513,0.00024021331187898078,0.00023900523649907746,0.8143828960155491,0.8322335532893421,0.6933628318584071,0.6561946902654867,0.3066371681415929,0.3438053097345133,0.7261698440207972,0.7592119664356074,0.9269911504424779,0.9207964601769911,0.7,0.7829385995864868,64,3,10,cuda,dgptcache,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-10-num_clients-50-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,50,150,paraphrase-MiniLM-L3-v2,,,,,,,"[0 1]:[2260 2260], Total:4520"
0.8438755231273251,0.8856087436893594,0.7858407079646018,0.8263274336283186,0.0002816218717963295,0.0002784388255229038,0.8142034548944337,0.843407141432276,0.6792035398230089,0.6592920353982301,0.32079646017699115,0.3407079646017699,0.7189830508474576,0.767889575009081,0.9384955752212389,0.9353982300884955,0.7,0.7250891923904419,256,4,4,cuda,dgptcache,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-4-num_rounds-50-,20,50,all-MiniLM-L6-v2,[],"[0.8158607350096712, 0.8176003101376237, 0.8208341492069708, 0.8219070133963751, 0.8241995678648595, 0.8254280653414682, 0.8249752229930626, 0.8274640960062956, 0.8261390887290168, 0.8278475962497507, 0.8283716283716284, 0.8290444843407142, 0.8298804780876493, 0.8302112395376644, 0.8307814674885664, 0.831081081081081, 0.832140015910899, 0.8328025477707005, 0.8330638641875505, 0.8344182262001627, 0.8355048859934854, 0.8378378378378378, 0.8386568386568387, 0.835684482416054, 0.8367834394904458, 0.8381642512077295, 0.8383233532934132, 0.8391217564870259, 0.8401278976818545, 0.8412698412698413, 0.8412, 0.8441345365053323, 0.8421684336867372, 0.8450992428892983, 0.8453355155482816, 0.8454619787408013, 0.8459337964854924, 0.8403883495145632, 0.8453731343283581, 0.8461694777484251, 0.8455654331197023, 0.8463886063072228, 0.8468691878487291, 0.8461538461538461, 0.8464328899637242, 0.8467595396729255, 0.8465886152603956, 0.8467595396729255, 0.8475055544334479, 0.8474919093851133, 0.848006476421777]",0.848006476421777,-1.0,"[0.7247422680412371, 0.7274922387030011, 0.7362135581313664, 0.7407670454545454, 0.7410808901448251, 0.7433534207727757, 0.7472172351885099, 0.7449521785334751, 0.7532798833819242, 0.7537232110424991, 0.7551912568306011, 0.7548129313476207, 0.7547101449275362, 0.7552574329224075, 0.7544239797760924, 0.7543290043290043, 0.7557803468208093, 0.7568740955137482, 0.7667410714285714, 0.7722138554216867, 0.7737556561085973, 0.7797256097560976, 0.7804878048780488, 0.7583844212044717, 0.7604920405209841, 0.7688330871491876, 0.7636363636363637, 0.7643636363636364, 0.7660349854227405, 0.7788244159758855, 0.7675182481751824, 0.786697247706422, 0.7685286600949252, 0.7860677578987438, 0.7861491628614916, 0.7857142857142857, 0.785876993166287, 0.7487889273356402, 0.7681735985533454, 0.7824126268320181, 0.793558401241754, 0.783427495291902, 0.7944939899185731, 0.7697606961566352, 0.7772020725388601, 0.778685480876346, 0.7783964365256125, 0.778685480876346, 0.779635823114084, 0.7805514157973175, 0.7814248414770608]",,"[0 1]:[2260 2260], Total:4520"
0.8438755231273251,0.899749904255736,0.7858407079646018,0.8473451327433629,0.0002832068806200956,0.00027610253443760156,0.8142034548944337,0.855406538139145,0.6792035398230089,0.6407079646017699,0.32079646017699115,0.35929203539823007,0.7189830508474576,0.8125,0.9384955752212389,0.9030973451327433,0.7,0.7610532641410828,256,6,4,cuda,dgptcache,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-,20,50,all-MiniLM-L6-v2,[],"[0.8188216368389302, 0.8254344391785151, 0.8264529058116232, 0.8293467336683418, 0.8294069861900893, 0.8260242948322009, 0.8276291225886746, 0.8314097279472382, 0.8347293156281921, 0.8274271335709792, 0.8297783354245084, 0.8316582914572865, 0.8380558428128231, 0.8393889347646573, 0.8401318500206015, 0.8400247066090178, 0.840597503580929, 0.8398340248962656, 0.8411291984339584, 0.8417116742833403, 0.8437499999999999, 0.8407321691563223, 0.8408319185059423, 0.8423060618906315, 0.8358144552319309, 0.838418564675548, 0.8407970859224341, 0.8435228730226592, 0.8413109098749462, 0.8427376099549452, 0.8433060697374084, 0.8443010752688171, 0.8449795742851001, 0.845643331192464, 0.8465811965811966, 0.84755184947616, 0.8468776732249786, 0.8488595182263909, 0.8497872340425532, 0.8510728701933291, 0.8543730242360378, 0.855457227138643, 0.8559428811423772, 0.8567220702714076, 0.8570228847365106, 0.8561151079136691, 0.8513107004727117, 0.8518756698821007, 0.8550138386203959, 0.8587737843551797, 0.8579856721449642]",0.8579856721449642,-1.0,"[0.7504607445632141, 0.7453637660485022, 0.7553113553113553, 0.7598526703499079, 0.7665165165165165, 0.7724297266076242, 0.7789925810230379, 0.7781635802469136, 0.7753320683111955, 0.7863690713431646, 0.7866772402854877, 0.7893481717011129, 0.7867961165048544, 0.7867647058823529, 0.7860447185813415, 0.7855217558721602, 0.781880472021317, 0.790625, 0.7871191669880447, 0.793265465935787, 0.7880184331797235, 0.8014440433212996, 0.8079119086460033, 0.8083807973962571, 0.8155789473684211, 0.8149540517961571, 0.8151225592023266, 0.8159636062861869, 0.8204373423044575, 0.8179925031236984, 0.8210393964794636, 0.8213389121338912, 0.821831869510665, 0.8191621733720448, 0.8185950413223141, 0.8200248241621845, 0.8195364238410596, 0.8190045248868778, 0.8184426229508197, 0.8185533306089089, 0.8156941649899396, 0.8165728077232502, 0.8145483613109512, 0.816686722823907, 0.8154214942069516, 0.8203568532035685, 0.827485380116959, 0.8261954261954262, 0.8239638900287238, 0.8222672064777328, 0.8189863234111022]",,"[0 1]:[2260 2260], Total:4520"
0.8438755231273251,0.9095156387703809,0.7858407079646018,0.856637168141593,0.0002777438775628014,0.00027592672710925075,0.8142034548944337,0.863578947368421,0.6792035398230089,0.6278761061946903,0.32079646017699115,0.37212389380530975,0.7189830508474576,0.8236947791164658,0.9384955752212389,0.9075221238938053,0.7,0.7616680860519409,256,8,4,cuda,dgptcache,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-8-num_rounds-50-,20,50,all-MiniLM-L6-v2,[],"[0.8171097341595043, 0.8226727022239716, 0.8260782347041122, 0.8297659531906382, 0.829487441290586, 0.8343183207662522, 0.8380874204801969, 0.8391103987176919, 0.8398887564560984, 0.8414985590778099, 0.8417577883226739, 0.839334596757212, 0.8404817240650752, 0.8409428753450839, 0.8418803418803419, 0.842195174033739, 0.844191440016867, 0.8460407477420709, 0.8467826451477678, 0.849491384679261, 0.8477611940298506, 0.8491830749895267, 0.849478390461997, 0.8507337526205451, 0.8519840436699558, 0.8518363939899833, 0.8539325842696629, 0.8532786885245902, 0.8551469077460447, 0.853868194842407, 0.8541452376054309, 0.8553511705685619, 0.8560100166944907, 0.8564242297212326, 0.8548519736842105, 0.8556764524738246, 0.8569072164948454, 0.8563786008230453, 0.8573773855940899, 0.8561489666462042, 0.8592870544090057, 0.8603678929765886, 0.8609715242881072, 0.8613260824095377, 0.8617511520737327, 0.8598752598752599, 0.8607753230512714, 0.8629908103592314, 0.8632943143812708, 0.8623203499270986, 0.8626878130217028]",0.8626878130217028,-1.0,"[0.7451695224207072, 0.7408720311946119, 0.7555963302752293, 0.7572106608251187, 0.770193401592719, 0.7733282961843596, 0.7814772292384232, 0.766752105455877, 0.7620764239365537, 0.7867590454195535, 0.7885581754928489, 0.8007231820008035, 0.8042862919530934, 0.8084932625561454, 0.8140495867768595, 0.8138671068922823, 0.806282722513089, 0.8052778888444622, 0.8044603743528475, 0.8001564333202972, 0.8181069958847736, 0.8062848050914877, 0.8186294624538367, 0.8083665338645418, 0.8106272473032361, 0.8060821484992101, 0.8196988196988197, 0.7946564885496183, 0.7982355197545071, 0.7943640517897944, 0.798154555940023, 0.8106180665610143, 0.8100315955766193, 0.8136200716845878, 0.7983870967741935, 0.7981616238988893, 0.8023166023166023, 0.8003846153846154, 0.7994642173746651, 0.7963456414160639, 0.8123768230193141, 0.8153724247226625, 0.8171701112877583, 0.8167393891312971, 0.8182179793158313, 0.8109803921568628, 0.8136327817178881, 0.817246835443038, 0.8181458003169572, 0.8146399055489965, 0.816350710900474]",,"[0 1]:[2260 2260], Total:4520"
