tname,dname,clients_per_round,num_clients,batch_size,device,client_epochs,num_rounds,Searched Round,Round F1,Final Round F1,Stored Best F1,True Hit Rate (Round),True Hit Rate (Final Round),key
paraphrase-albert-small-v2,dgptcache,10,100,64,cuda,3,150,146,0.849667941235661,0.846853977047883,-1.0,-1.0,-1.0,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-100-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,4,50,50,0.848006476421777,0.848006476421777,-1.0,-1.0,-1.0,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-4-num_rounds-50-
all-MiniLM-L6-v2,dgptcache,4,50,256,cuda,6,100,93,0.8410276221750047,0.8402220851326342,-1.0,-1.0,-1.0,FixJan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-50-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
paraphrase-MiniLM-L3-v2,dgptcache,10,20,64,cuda,3,150,150,0.8398215733982157,0.8398215733982157,-1.0,-1.0,-1.0,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,6,100,92,0.8323487471990223,0.8318403908794788,0.8323487471990223,0.7004424778761061,0.7008849557522124,Approved-tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-100-
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,8,50,48,0.8305727399720615,0.8305727399720615,-1.0,-1.0,-1.0,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-8-num_rounds-50-
paraphrase-MiniLM-L3-v2,dgptcache,10,50,64,cuda,3,150,148,0.8250497017892644,0.8243485180027849,-1.0,-1.0,-1.0,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-10-num_clients-50-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,6,50,49,0.8236691074609143,0.8236691074609143,-1.0,-1.0,-1.0,Jan11-tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,3,3,0.820633983067533,0.820633983067533,0.820633983067533,-1.0,-1.0,F1Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-3-
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,6,50,50,0.8171701112877583,0.8171701112877583,-1.0,-1.0,-1.0,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,2,3,3,0.8163676678089096,0.8163676678089096,0.8163676678089096,0.7212389380530974,0.7212389380530974,F1Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-2-num_rounds-3-
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,2,1,0.8151227236737926,0.8111178738080747,-1.0,-1.0,-1.0,Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-2-
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,4,50,50,0.8130609127362994,0.8130609127362994,-1.0,-1.0,-1.0,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-4-num_rounds-50-
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,3,2,0.8070880526123492,0.8070880526123492,-1.0,-1.0,-1.0,Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-3-
