,F Beta (Weighted),F Beta,F1 (Weighted),F1,Precision,Recall,Accuracy,confusion_matrix,Avg. Time,Config
0,0.6060365018339299,0.6738035264483627,0.6075707310433999,0.6881028938906752,0.6645962732919255,0.7133333333333334,0.612,"[[ 46  54]
 [ 43 107]]",-0.44084223651885984,Llama2 + GPTCache
1,0.8765545925789333,0.932601880877743,0.8653508771929824,0.875,0.9754098360655737,0.7933333333333333,0.864,"[[ 97   3]
 [ 31 119]]",-0.4230025672912598,Llama2 + MeanCache
