Metric,Value,Cache Type,Model,Key,Sampling
AP,0.8529274547885444,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
F1,0.8287852112676057,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Precision,0.7401729559748428,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Recall,0.9415,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Accuracy,0.8055,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Threshold,0.7,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Avg. Time,0.0006075305938720703,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Hit Rate,0.717,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Miss Rate,0.283,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Hit Accuracy,0.68,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
True Hit Rate,0.717,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
False Hit Rate,0.3005,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
True Miss Rate,0.643,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
False Miss Rate,0.039,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
AP,0.9111242552172077,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
F1,0.8641917293233082,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Precision,0.8151595744680851,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Recall,0.9195,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Accuracy,0.8555,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Threshold,0.7536748647689819,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Avg. Time,0.0004941173195838929,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Hit Rate,0.6575,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Miss Rate,0.3425,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Hit Accuracy,0.7055,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
True Hit Rate,0.6575,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
False Hit Rate,0.25975,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
True Miss Rate,0.7535,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
False Miss Rate,0.0695,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
AP,0.9250023672194034,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
F1,0.873977873977874,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Precision,0.8419833178869324,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
