AP,F1,Precision,Recall,Accuracy,Threshold,Avg. Time,Cache Type,Model,Key,Sampling
0.9409600767988001,0.6688963210702341,0.5025125628140703,1.0,0.505,0.06,0.0006401073932647705,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6711409395973155,0.5050505050505051,1.0,0.51,0.06,0.0010688745975494386,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.07,0.07942402243614197,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6711409395973155,0.5050505050505051,1.0,0.51,0.07,0.0006354117393493653,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6711409395973155,0.5050505050505051,1.0,0.51,0.07,0.0010656917095184326,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.08,0.07945198655128478,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6734006734006733,0.5076142131979695,1.0,0.515,0.08,0.0006386101245880127,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6734006734006733,0.5076142131979695,1.0,0.515,0.08,0.0010657894611358642,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.09,0.07943462252616883,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6734006734006733,0.5076142131979695,1.0,0.515,0.09,0.0006377148628234863,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6734006734006733,0.5076142131979695,1.0,0.515,0.09,0.001068640947341919,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.1,0.07982635855674744,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6734006734006733,0.5076142131979695,1.0,0.515,0.1,0.0006368780136108399,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
