F1,Precision,Recall,Accuracy,True Hit Rate,False Hit Rate,True Miss Rate,False Miss Rate,Avg Time,Threshold,Key
0.8193869096934548,0.7702492211838006,0.8752212389380531,0.8070796460176991,0.7128318584070796,0.23738938053097344,0.7185840707964601,0.09380530973451327,0.0005057192481724562,0.75,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8237995824634655,0.7798418972332016,0.8730088495575221,0.8132743362831858,0.7128318584070796,0.23119469026548672,0.7305309734513274,0.09424778761061947,0.000543985852098043,0.74,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.831206257719226,0.7771362586605081,0.893362831858407,0.8185840707964602,0.7243362831858408,0.23827433628318584,0.7199115044247788,0.07920353982300884,0.0005048377323994594,0.72,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8347293156281921,0.7753320683111955,0.9039823008849558,0.8210176991150443,0.7300884955752213,0.2424778761061947,0.7141592920353982,0.07079646017699115,0.0005039801639793194,0.71,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8351195383347074,0.7816358024691358,0.8964601769911504,0.8230088495575221,0.7243362831858408,0.23584070796460177,0.7256637168141593,0.07831858407079646,0.0005493508503500339,0.71,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8368442792234614,0.7846630518977536,0.8964601769911504,0.8252212389380531,0.7234513274336283,0.23384955752212389,0.7305309734513274,0.07831858407079646,0.0005043226533231482,0.71,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8384424192212095,0.7881619937694704,0.8955752212389381,0.827433628318584,0.7230088495575221,0.2316371681415929,0.7353982300884956,0.07831858407079646,0.0005041517515098099,0.71,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8414735099337749,0.7904354587869362,0.8995575221238938,0.8305309734513274,0.7265486725663717,0.23185840707964603,0.7353982300884956,0.0743362831858407,0.0005601825967299199,0.71,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8436602379975381,0.7865340474368784,0.9097345132743363,0.8314159292035398,0.731858407079646,0.23893805309734514,0.7221238938053097,0.06814159292035399,0.0005056589578105285,0.7,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8442707261880271,0.7889273356401384,0.9079646017699115,0.8325221238938053,0.7296460176991151,0.23672566371681417,0.7265486725663717,0.07035398230088495,0.0005045911379620037,0.7,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8467627359447941,0.7821522309711286,0.9230088495575222,0.8329646017699115,0.7380530973451327,0.24690265486725663,0.7097345132743362,0.0584070796460177,0.0005052327054791746,0.69,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.840343347639485,0.8158333333333333,0.8663716814159292,0.8353982300884956,0.6946902654867256,0.20818584070796461,0.7809734513274337,0.1079646017699115,0.0005049488713256026,0.73,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8401200171453065,0.8146300914380715,0.8672566371681416,0.8349557522123894,0.6942477876106194,0.20995575221238938,0.7783185840707965,0.1075221238938053,0.0005052325999842281,0.73,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8406357388316151,0.8167779632721202,0.8659292035398231,0.8358407079646017,0.6938053097345133,0.2086283185840708,0.7809734513274337,0.1079646017699115,0.0005045606499224638,0.73,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8409586056644881,0.8283261802575107,0.8539823008849557,0.838495575221239,0.6845132743362832,0.19712389380530973,0.8008849557522124,0.12035398230088495,0.0005048004399358699,0.74,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
0.8437968716520248,0.8180307436643124,0.8712389380530974,0.838716814159292,0.6991150442477876,0.20730088495575222,0.781858407079646,0.10442477876106195,0.0005049098381953957,0.73,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
