AP,F1,Precision,Recall,Accuracy,Threshold,Avg. Time,Hit Rate,Miss Rate,Cache Type,Model,Key,AP (SBERT-Threshold),F1 (SBERT-Threshold),Precision (SBERT-Threshold),Recall (SBERT-Threshold),Accuracy (SBERT-Threshold),Threshold (SBERT-Threshold),Avg. Time (SBERT-Threshold),Hit Rate (SBERT-Threshold),Miss Rate (SBERT-Threshold),Sampling
0.8498961669986366,0.8294829482948294,0.7406679764243614,0.9425,0.80625,0.7,0.0007749990820884704,0.7295,0.2705,GPTCache,paraphrase-albert-small-v2,---,,,,,,,,,,"[0 1]:[2000 2000], Total:4000"
,,,,,,,,,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,0.9150837437935074,0.8758357211079274,0.8382084095063985,0.917,0.87,0.7995279431343079,0.0007521736025810242,0.678,0.322,"[0 1]:[2000 2000], Total:4000"
,,,,,,,,,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,0.9036257188234059,0.8647761893602063,0.8138509042787825,0.9225,0.85575,0.7480711936950684,0.0005024428367614746,0.668,0.332,"[0 1]:[2000 2000], Total:4000"
