AP,F1,Precision,Recall,Accuracy,Threshold,Avg. Time,Hit Rate,Miss Rate,Hit Accuracy,True Hit Rate,False Hit Rate,True Miss Rate,False Miss Rate,Cache Type,Model,Key,Sampling
0.8519888572040724,0.8317446242518288,0.7471127041019514,0.938,0.81025,0.7,0.0006037373542785644,0.7155,0.2845,0.6855,0.7155,0.29375,0.6555,0.0415,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
0.9093693180039522,0.8682789387180089,0.8185037627268703,0.9245,0.85975,0.7505744099617004,0.0004900051355361939,0.6625,0.3375,0.71075,0.6625,0.256,0.759,0.0665,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
0.9236473118612445,0.8770156438026475,0.8454756380510441,0.911,0.87225,0.7961874008178711,0.0007327070832252502,0.662,0.338,0.735,0.662,0.22825,0.808,0.0735,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
