AP,F1,Precision,Recall,Accuracy,Threshold,Avg. Time,Hit Rate,Miss Rate,Hit Accuracy,True Hit Rate,False Hit Rate,True Miss Rate,False Miss Rate,Cache Type,Model,Key,Sampling
0.5562476827348553,0.6666666666666666,0.5,1.0,0.5,0.7,0.08292080283164978,0.0,1.0,0.0,0.0,1.0,0.0,0.0,GPTCache-llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.8838629334074528,0.8288288288288288,0.7540983606557377,0.92,0.81,0.7,0.0027378857135772704,0.88,0.12,0.79,0.88,0.17,0.7,0.08,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[100 100], Total:200"
0.9480650650395022,0.8878504672897196,0.8333333333333334,0.95,0.88,0.7437602281570435,0.0006489026546478272,0.92,0.08,0.865,0.92,0.11,0.81,0.05,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9531383976462664,0.8955223880597015,0.8910891089108911,0.9,0.895,0.7849862575531006,0.0010264945030212403,0.84,0.16,0.865,0.84,0.085,0.89,0.1,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
