Metric,Value,Cache Type,Model,Key,Sampling
AP,0.9177846122703974,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
F1,0.8770491803278688,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Precision,0.8468342644320298,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Recall,0.9095,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Accuracy,0.8725,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Threshold,0.8004844188690186,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Avg. Time,0.0007462688088417053,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Hit Rate,0.646,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Miss Rate,0.354,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Hit Accuracy,0.72275,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
True Hit Rate,0.646,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
False Hit Rate,0.24,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
True Miss Rate,0.7995,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
False Miss Rate,0.0745,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
