AP,F1,Precision,Recall,Accuracy,True Hit Rate,False Hit Rate,True Miss Rate,False Miss Rate,Threshold,Key
0.8711046251002015,0.8256735340729001,0.7474892395982783,0.9221238938053097,0.8053097345132744,0.7238938053097345,0.28650442477876104,0.6570796460176991,0.04601769911504425,0.7254006862640381,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.8865866572948065,0.8380534503390507,0.7628903413217138,0.929646017699115,0.820353982300885,0.7252212389380531,0.2763274336283186,0.6783185840707965,0.04380530973451328,0.7392617464065552,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.8940016643784002,0.8452646522003651,0.7802321228004493,0.9221238938053097,0.8311946902654868,0.7194690265486726,0.2608407079646018,0.70929203539823,0.049557522123893805,0.7587891817092896,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.8986772418511011,0.8472824963835504,0.794881737107406,0.9070796460176991,0.8365044247787611,0.7061946902654868,0.24690265486725663,0.7358407079646018,0.06415929203539823,0.7712276577949524,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9023543181794293,0.8533658735001017,0.7896123447497178,0.9283185840707965,0.8404867256637168,0.7199115044247788,0.25619469026548675,0.7194690265486726,0.048230088495575224,0.7619271278381348,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9050259125815977,0.8539190006044731,0.7839437661857196,0.9376106194690266,0.8396017699115044,0.7238938053097345,0.26349557522123895,0.7053097345132744,0.04380530973451328,0.7490966320037842,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9071277117777378,0.8574375902620177,0.8032470042520293,0.9194690265486726,0.8471238938053097,0.7115044247787611,0.24446902654867256,0.7415929203539823,0.05796460176991151,0.7687591910362244,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9088386750229575,0.852700817221447,0.7758433079434167,0.9464601769911505,0.8365044247787611,0.7278761061946902,0.27168141592920353,0.6893805309734513,0.03938053097345133,0.7362099289894104,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9107216976119623,0.8600040874718986,0.7990884922142043,0.9309734513274336,0.8484513274336283,0.715929203539823,0.25088495575221237,0.7309734513274336,0.05132743362831858,0.7574549913406372,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9120763388044849,0.8600612870275791,0.7988614800759013,0.9314159292035398,0.8484513274336283,0.7163716814159292,0.25088495575221237,0.7309734513274336,0.05088495575221239,0.756454348564148,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9134261942129189,0.861639076231351,0.8006076718571972,0.9327433628318584,0.8502212389380531,0.7172566371681416,0.2504424778761062,0.7314159292035398,0.050442477876106194,0.7566912174224854,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9146559870789552,0.8589079314467916,0.7813633067440174,0.9535398230088495,0.8433628318584071,0.7278761061946902,0.27101769911504425,0.6938053097345133,0.036283185840707964,0.7290551662445068,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9159123858865315,0.8664713269150272,0.8220810166799047,0.915929203539823,0.8588495575221239,0.7026548672566372,0.23384955752212389,0.7650442477876106,0.06460176991150443,0.7747189402580261,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9167693780594478,0.8682824025289779,0.8289738430583501,0.911504424778761,0.8617256637168141,0.7008849557522124,0.22676991150442477,0.7783185840707965,0.06725663716814159,0.7844796180725098,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
