tname,dname,clients_per_round,num_clients,batch_size,device,client_epochs,num_rounds,Searched Round,Round F1,Final Round F1,Stored Best F1,True Hit Rate (Round),True Hit Rate (Final Round),F1 (R),Precision (R),Recall (R),Accuracy (R),Threshold (R),Avg. Time (R),True Hit Rate (R),False Hit Rate (R),True Miss Rate (R),False Miss Rate (R),key
paraphrase-albert-small-v2,dgptcache,10,20,64,cuda,3,150,87,0.8731514267860863,0.8700166112956811,-1,-1,-1,0.8667208451848841,0.8012772351615327,0.9438053097345133,0.8548672566371681,0.76,0.0005149863990007249,0.7269911504424779,0.25995575221238937,0.7053097345132744,0.047787610619469026,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-
paraphrase-albert-small-v2,dgptcache,10,20,64,cuda,3,10,10,0.8562715999186826,0.8562715999186826,-1,-1,-1,0.8570841044622659,0.8006146753745678,0.9221238938053097,0.8462389380530974,0.74,0.00048593087533933924,0.7305309734513274,0.23628318584070795,0.7349557522123894,0.061946902654867256,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-10-
paraphrase-albert-small-v2,dgptcache,5,20,16,cuda,3,1,1,0.8515451423954756,0.8515451423954756,-1,-1,-1,0.8535240040858019,0.7927893738140418,0.9243362831858407,0.8413716814159292,0.73,0.0004867380171750499,0.731858407079646,0.2424778761061947,0.7238938053097345,0.05929203539823009,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-5-num_clients-20-batch_size-16-device-cuda-client_epochs-3-num_rounds-1-
